,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2019-04-08-00,1.6,1.1,0.2,1.3,0.8,2.0,0.3,0.8,0.3,0.9,2.5,0.3,2.8,0.5,1.2,0.1,3.6,2.4,0.0,0.5,0.7,1.2,1.6,0.1
2019-04-08-01,2.1,0.5,1.2,1.1,0.2,2.7,0.0,0.9,0.6,2.3,2.3,0.3,1.3,0.7,1.4,1.0,2.9,4.0,0.9,0.2,1.8,0.9,1.1,0.9
2019-04-08-02,2.3,0.6,1.2,2.7,0.6,3.8,0.6,1.1,1.8,3.7,3.2,1.3,2.0,0.5,1.6,1.0,3.0,5.1,1.9,1.1,2.3,2.5,0.8,2.4
2019-04-08-03,2.6,0.9,1.0,3.1,0.7,3.6,1.0,1.4,3.1,4.9,4.0,1.7,3.5,0.5,1.6,1.3,4.3,3.9,2.9,2.9,1.6,2.3,1.5,1.9
2019-04-08-04,0.7,1.1,1.9,3.5,0.8,3.3,1.9,2.3,2.9,4.8,5.1,1.9,2.9,0.4,1.6,2.8,4.5,2.7,4.1,3.4,3.0,2.4,1.6,1.5
2019-04-08-05,0.9,1.1,1.6,2.9,1.8,3.4,2.5,1.8,2.6,7.1,3.9,2.0,3.3,1.2,2.3,2.0,4.6,3.2,4.0,4.1,3.0,2.8,1.9,1.5
2019-04-08-06,2.9,2.3,1.3,2.8,1.3,3.0,1.4,1.5,3.1,4.9,4.3,2.2,3.5,1.6,1.7,3.4,4.1,3.1,4.2,4.0,2.0,3.0,1.4,1.8
2019-04-08-07,1.4,2.1,1.5,3.0,1.4,2.7,2.4,1.9,4.3,4.5,3.8,2.3,3.3,1.4,1.0,3.6,3.9,2.9,4.3,2.9,1.5,2.0,1.6,1.4
2019-04-08-08,2.7,2.3,1.6,1.8,0.7,1.7,2.0,1.1,3.5,4.0,4.3,2.6,2.5,1.1,0.9,2.8,4.3,2.5,3.5,3.0,0.9,2.2,1.7,1.6
2019-04-08-09,2.7,1.2,1.0,3.0,0.8,1.7,1.1,1.5,3.3,4.6,4.8,2.5,2.5,1.4,0.4,3.8,7.8,2.6,3.5,2.6,1.1,1.6,1.3,1.6
2019-04-08-10,2.6,1.1,0.2,2.9,0.2,1.2,0.6,0.8,2.3,4.1,2.3,1.1,2.0,2.2,0.5,2.5,3.3,2.4,2.3,2.5,0.9,1.5,0.6,1.2
2019-04-08-11,2.4,0.3,0.6,1.8,0.3,0.4,0.2,0.4,2.5,3.6,2.2,1.3,1.5,2.6,2.0,2.8,2.5,0.2,2.7,2.3,0.7,0.6,0.5,2.0
2019-04-08-12,2.4,0.5,0.6,0.6,0.1,1.0,0.5,0.0,2.2,2.5,2.5,0.8,1.1,3.3,0.8,1.6,2.7,1.2,2.0,1.4,0.8,1.1,1.6,1.2
2019-04-08-13,1.5,0.9,1.1,0.5,0.1,0.0,0.2,0.7,2.9,2.9,1.3,0.8,1.0,2.6,1.1,1.6,4.6,1.1,1.6,1.6,0.4,0.8,1.7,1.5
2019-04-08-14,1.0,1.1,0.6,0.5,1.6,1.8,1.3,0.7,2.2,1.4,1.0,0.6,0.7,1.4,0.9,0.4,3.3,1.4,1.8,1.8,0.2,1.2,1.4,1.2
2019-04-08-15,0.1,0.1,0.9,1.1,1.4,1.8,0.8,0.3,1.1,1.1,2.0,0.7,1.2,0.7,0.9,1.8,5.4,1.7,2.6,1.6,0.3,1.0,1.9,2.4
2019-04-08-16,0.2,0,0.7,1.9,0.6,0.6,1.2,0.3,0.3,1.0,2.5,0.3,2.8,0.7,1.0,0.7,3.9,0.8,1.1,0.9,0.2,1.2,1.1,2.8
2019-04-08-17,0.1,0.3,0.6,2.0,0.7,1.8,1.2,0.1,1.3,1.6,2.1,0.8,3.8,0.4,3.3,1.4,2.6,1.6,1.8,1.0,0.6,0.3,1.8,1.6
2019-04-08-18,0.1,0.5,0.8,0.6,1.1,1.1,1.1,0.9,0.9,1.9,2.0,0.8,4.3,1.5,0.9,0.3,3.8,2.0,1.3,2.2,0.3,0.5,1.1,2.9
2019-04-08-19,2.4,0.3,0.2,1.2,0.4,0.8,1.4,1.0,1.1,2.2,2.4,0.4,4.6,0.6,1.1,1.1,1.9,1.1,2.3,2.0,0.5,1.0,1.7,2.5
2019-04-08-20,2.5,0.1,1.1,0.7,1.1,0.8,1.0,1.5,0.9,2.0,2.2,0.4,4.4,1.6,0.5,0.1,7.2,0.9,2.1,1.6,0.6,0.3,1.1,2.9
2019-04-08-21,2.0,0.9,1.0,2.2,1.8,1.1,0.9,1.6,1.1,2.3,2.4,0.0,3.9,0.6,0.9,1.2,7.3,2.5,1.7,0.9,0.6,0.7,1.5,4.2
2019-04-08-22,1.6,1,1.0,2.6,1.2,2.1,0.8,0.9,0.4,2.2,2.0,0.6,4.6,4.4,1.6,0.8,2.5,1.6,2.1,2.4,0.9,0.5,1.7,2.2
2019-04-08-23,2.4,1.2,0.9,2.0,1.3,2.3,0.8,1.1,0.2,1.7,2.2,0.0,2.4,1.1,1.2,1.4,5.3,2.4,2.5,1.6,1.1,1.2,1.0,2.5
