,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2021-05-12-00,2.8,1.1,1.2,0.7,0.6,6.9,0.3,1.4,0.5,1.8,3.9,1.7,2.2,0.5,1.2,2.1,3.5,0.6,2.7,2.0,0.7,0.7,1.6,1.5
2021-05-12-01,1.8,1.1,1.3,2.6,3.0,7.4,3.6,4.1,1.6,3.2,4.6,3.6,2.9,0.8,1.3,2.8,2.3,0.7,1.8,1.4,1.9,1.4,3.4,1.6
2021-05-12-02,1.2,0.9,0.8,4.5,2.2,8.6,2.7,3.3,3.3,5.8,4.1,2.5,3.3,1.1,1.2,2.9,1.6,0.7,3.0,2.5,1.9,2.9,3.1,2.0
2021-05-12-03,1.8,2.1,1.9,3.1,1.5,9.4,1.0,3.2,3.7,4.3,6.1,2.6,2.4,1.3,1.7,2.1,1.4,0.4,2.7,1.8,2.2,3.0,3.2,2.1
2021-05-12-04,3.3,2.9,2.0,2.9,1.1,8.2,1.8,3.9,3.5,2.9,7.3,2.5,3.2,1.6,1.5,3.3,2.6,0.6,4.8,3.7,1.6,3.1,3.5,2.7
2021-05-12-05,3.5,1.8,1.7,3.9,1.5,9.7,2.8,5.1,4.2,6.9,6.1,3.2,4.5,2.2,1.9,3.6,3.4,0.9,4.4,4.6,2.2,3.4,1.9,3.4
2021-05-12-06,3.3,3.0,1.5,4.3,2.9,8.4,3.3,3.7,3.9,4.6,6.7,3.8,3.7,1.3,1.0,3.8,2.5,0.9,3.6,3.7,2.3,3.6,3.8,2.3
2021-05-12-07,4.2,1.9,1.7,5.0,2.7,7.8,2.1,3.0,4.9,5.1,4.7,2.6,2.9,1.4,1.4,3.3,2.5,0.3,4.2,3.7,2.7,5.2,2.2,2.8
2021-05-12-08,6.0,3.2,2.5,4.0,2.1,5.6,1.5,2.4,4.6,4.4,5.2,1.9,3.2,2.6,0.9,3.1,1.6,0.3,4.0,3.7,3.7,3.8,2.5,2.7
2021-05-12-09,3.8,2.4,3.8,2.9,3.9,3.3,1.9,2.3,5.0,2.8,4.0,2.6,2.5,1.9,1.3,2.3,1.5,0.5,3.2,3.7,4.7,3.9,3.2,2.9
2021-05-12-10,1.3,1.5,0.3,2.2,1.5,2.3,1.8,1.5,3.9,2.8,3.1,2.0,2.9,1.5,1.1,2.1,2.4,1.1,3.7,2.4,4.2,3.3,2.0,2.2
2021-05-12-11,1.3,0.5,0.2,1.4,1.7,2.5,0.9,0.8,0.8,4.6,3.2,1.2,1.8,1.4,1.1,1.2,5.1,2.5,2.4,2.0,3.9,3.5,0.8,1.8
2021-05-12-12,2.7,0.6,0.8,0.7,1.4,1.8,1.2,0.6,0.5,0.7,2.0,1.1,2.6,2.1,1.0,1.1,4.1,2.1,1.5,1.9,3.9,2.5,0.7,1.8
2021-05-12-13,0.7,1.5,0.8,1.4,1.2,1.1,1.2,0.7,0.9,0.6,2.4,1.3,2.9,2.2,1.5,1.7,5.1,2.3,0.5,0.9,3.4,2.1,1.2,1.1
2021-05-12-14,1.1,0.9,0.9,2.2,1.0,1.8,1.6,0.5,1.5,0.5,3.1,0.9,2.8,0.9,0.9,0.7,3.2,1.6,0.7,0.3,1.7,1.5,1.3,0.8
2021-05-12-15,0.7,0.6,1.0,1.2,1.0,1.0,1.8,0.6,0.8,1.4,1.9,1.5,1.6,0.9,0.9,0.3,3.7,2.1,0.4,1.5,1.8,1.4,1.1,0.6
2021-05-12-16,0.9,0.2,0.9,1.1,0.7,0.2,0.3,0.5,1.7,0.9,2.7,1.1,1.7,1.4,0.8,0.7,2.0,2.1,1.0,1.6,0.8,0.8,1.6,0.9
2021-05-12-17,1.8,0.8,0.5,1.4,1.0,1.3,1.6,1.3,2.4,1.3,1.6,0.9,1.9,0.3,2.4,1.3,4.6,2.4,2.1,1.3,1.8,1.3,1.8,0.4
2021-05-12-18,0.4,0.5,0.4,1.2,1.3,1.3,0.7,1.0,1.1,0.8,2.1,1.2,1.8,0.6,1.2,0.2,3.3,2.5,2.2,1.8,2.1,0.9,1.5,1.1
2021-05-12-19,0.8,0.9,0.8,2.2,1.1,1.3,0.8,0.9,1.3,0.2,2.4,0.8,2.1,0.4,1.5,0.4,2.3,1.3,2.6,2.6,1.5,2.0,0.8,0.7
2021-05-12-20,0.8,0.9,0.8,1.5,0.7,1.1,0.7,1.0,0.8,0.7,2.7,1.4,1.9,0.4,3.1,0.7,3.3,1.0,2.4,2.4,1.2,2.4,1.9,1.5
2021-05-12-21,1.2,0.4,1.1,1.0,1.2,0.4,0.5,0.8,1.4,0.2,2.4,0.9,3.0,1.4,0.7,0.4,2.8,1.3,1.7,2.3,1.1,2.6,2.1,2.0
2021-05-12-22,0.8,0.4,0.8,1.2,1.2,1.2,1.4,1.0,1.0,0.8,1.1,0.8,1.8,2.3,1.0,0.5,1.3,1.5,2.8,1.7,0.4,2.3,0.7,1.7
2021-05-12-23,0.7,1.0,0.6,1.8,1.8,1.4,1.4,0.8,0.8,0.9,1.5,1.3,5.2,0.4,0.8,0.6,2.9,1.0,2.3,2.1,1.1,1.7,0.9,2.4
