,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2019-03-13-00,3.8,2.9,1.9,3.7,3.2,1.5,3.4,0.5,1.2,1.4,1.5,0.3,3.9,0.2,0.7,0.6,3.2,2.8,1.2,1.2,1.4,1.7,1.6,6.8
2019-03-13-01,4.7,4.3,1.8,2.6,3.0,2.0,2.2,0.8,1.9,1.9,3.3,0.3,2.5,0.9,0.5,0.4,2.2,1.5,0.3,1.3,1.7,2.7,2.2,5.7
2019-03-13-02,4.5,3.4,1.5,3.5,4.5,2.7,2.7,0.5,3.6,5.1,2.4,0.2,2.2,0.7,1.8,0.5,0.9,1.9,1.7,1.0,1.1,2.4,3.5,6.0
2019-03-13-03,4.2,4.3,1.6,3.9,4.3,1.6,2.8,0.2,3.5,3.1,4.1,1.0,3.0,0.9,2.0,1.6,1.3,1.4,0.9,1.9,0.8,2.9,3.6,6.6
2019-03-13-04,3.5,3.9,1.2,4.3,5.0,0.7,3.8,1.0,3.5,2.7,4.4,2.0,4.2,1.2,1.6,1.8,3.5,1.4,1.8,1.9,1.4,3.0,4.6,6.0
2019-03-13-05,3.9,2.9,1.8,3.4,5.1,2.9,2.9,1.4,2.4,2.4,5.1,1.8,3.8,1.8,0.7,2.0,3,1.4,2.7,3.2,1.8,3.2,5.2,5.6
2019-03-13-06,4.1,4,1.4,2.5,4.7,4.9,2.4,1.1,4.0,0.8,4.3,2.3,4.1,2.7,2.1,2.3,2,1.6,3.7,3.4,2.6,3.0,5.3,6.2
2019-03-13-07,3.8,3.5,1.3,2.8,4.7,5.3,2.0,0.6,2.5,2.4,3.8,2.2,2.9,1.7,1.5,2.4,4.3,3.0,3.5,4.6,1.3,3.4,4.2,7.2
2019-03-13-08,3.6,5.1,1.0,2.9,6.0,5.1,3.1,1.6,4.6,2.2,2.4,1.3,3.0,2.1,1.3,3.4,5.9,3.3,4.3,3.0,1.3,3.7,3.3,6.7
2019-03-13-09,3.5,5.2,1.3,2.7,4.2,4.5,2.8,2.4,2.8,3.2,1.6,0.7,3.2,0.4,1.6,2.3,3.8,3.9,2.9,2.2,1.5,2.5,1.4,8.1
2019-03-13-10,4.2,4,1.5,2.2,5.1,5.1,3.0,2.1,1.7,3.3,1.2,1.3,3.0,0.9,0.9,0.6,3.3,2.6,2.1,2.0,1.8,2.1,1.1,7.1
2019-03-13-11,4.5,5,1.5,0.6,3.0,4.8,2.5,2.1,1.1,3.6,2.1,1.2,2.0,1.0,1.5,0.1,4.4,3.6,1.7,2.2,1.9,1.0,2.1,6.8
2019-03-13-12,4.5,3.9,1.3,3.1,3.0,5.3,2.5,1.2,0.8,3.3,0.8,0.6,2.4,0.8,1.3,0.2,6.5,2.8,1.8,2.1,1.6,1.2,3.1,6.2
2019-03-13-13,5.7,3.8,0.8,1.7,1.9,4.2,2.3,1.2,1.0,4.6,0.1,0.0,2.1,0.7,1.2,0.0,7.2,2.7,1.5,2.1,1.1,0.6,3.3,8.0
2019-03-13-14,4.8,3.5,0.6,0.9,2.8,4.6,2.4,0.3,1.3,2.7,1.2,0.3,2.9,1.5,1.7,0.0,4.8,2.8,0.9,1.5,1.6,0.6,3.1,6.6
2019-03-13-15,5.6,3.3,1.1,1.1,3.2,3.6,0.7,0.2,1.2,2.2,1.1,0.1,4.1,1.3,2.0,1.1,4.8,3.5,0.9,0.7,1.0,1.4,3.2,7.8
2019-03-13-16,4.2,2.7,0.9,3.9,3.5,2.6,1.4,1.0,1.3,1.9,1.6,0.7,3.8,0.7,1.6,0.6,6.6,3.7,0.8,1.6,1.8,1.5,3.3,6.7
2019-03-13-17,3.7,2.9,0.5,2.4,2.4,1.6,1.6,0.1,0.8,3.3,1.6,0.0,3.3,1.9,1.7,0.0,5.3,2.6,0.8,1.3,1.3,1.0,2.7,7.1
2019-03-13-18,3.1,2.6,0.7,2.6,2.8,2.4,1.4,0.3,1.2,3.2,1.9,0.1,4.7,0.4,1.1,0.6,5.8,3.0,1.1,1.7,1.6,1.1,2.8,6.6
2019-03-13-19,2.7,3.6,0.7,2.2,2.7,2.3,0.7,1.5,1.5,3.6,1.6,0.1,3.0,1.6,1.4,0.3,4.4,4.0,1.8,2.5,1.5,1.9,2.5,6.7
2019-03-13-20,2.5,3.1,0.7,1.9,2.8,3.2,0.6,0.4,1.1,2.5,0.8,0.1,4.1,1.2,1.1,1.0,3.3,3.4,2.0,3.4,1.6,1.5,1.9,6.2
2019-03-13-21,2.8,3.2,0.7,1.5,1.7,2.1,1.6,0.9,1.6,2.2,1.1,0.0,4.2,0.8,1.0,0.0,3.2,2.8,3.0,3.5,1.2,0.0,1.0,6.1
2019-03-13-22,2.3,3.4,0.9,2.7,1.2,1.8,1.2,0.5,1.6,2.4,0.8,0.2,4.2,1.4,0.3,0.1,2.3,3.1,1.9,1.2,1.2,2.1,2.2,4.3
2019-03-13-23,2.6,3.5,0.9,1.1,1.3,2.9,1.0,0.7,1.1,1.9,1.1,0.0,4.7,3.1,1.0,1.7,2.6,2.8,0.9,2.3,1.1,1.8,1.6,4.3
